INFO  - 2014-06-12 17:11:28.237; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2014-06-12 17:11:28.357; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /u/data/u88/du25/summer_research/solr-4.8.1/example/contexts at interval 0
INFO  - 2014-06-12 17:11:28.378; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /u/data/u88/du25/summer_research/solr-4.8.1/example/contexts/solr-jetty-context.xml
INFO  - 2014-06-12 17:11:28.458; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/u/data/u88/du25/summer_research/solr-4.8.1/example/webapps/solr.war!/ to /u/data/u88/du25/summer_research/solr-4.8.1/example/solr-webapp/webapp
INFO  - 2014-06-12 17:11:31.014; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-06-12 17:11:31.121; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-06-12 17:11:31.186; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-06-12 17:11:31.186; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2014-06-12 17:11:31.187; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2014-06-12 17:11:31.348; org.apache.solr.core.ConfigSolr; Loading container configuration from /u/data/u88/du25/summer_research/solr-4.8.1/example/solr/solr.xml
INFO  - 2014-06-12 17:11:31.725; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /u/data/u88/du25/summer_research/solr-4.8.1/example/solr
INFO  - 2014-06-12 17:11:31.747; org.apache.solr.core.CoreContainer; New CoreContainer 1821230350
INFO  - 2014-06-12 17:11:31.748; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2014-06-12 17:11:31.764; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-06-12 17:11:31.764; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2014-06-12 17:11:31.770; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-06-12 17:11:31.773; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-06-12 17:11:31.773; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-06-12 17:11:31.773; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-06-12 17:11:31.774; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-06-12 17:11:31.774; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-06-12 17:11:31.774; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-06-12 17:11:32.220; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2014-06-12 17:11:32.221; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2014-06-12 17:11:32.222; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2014-06-12 17:11:32.304; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /u/data/u88/du25/summer_research/solr-4.8.1/example/solr
INFO  - 2014-06-12 17:11:32.316; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /u/data/u88/du25/summer_research/solr-4.8.1/example/solr/collection1/
INFO  - 2014-06-12 17:11:32.317; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2014-06-12 17:11:32.319; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/u/data/u88/du25/summer_research/solr-4.8.1/example/solr/collection1/'
INFO  - 2014-06-12 17:11:32.423; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2014-06-12 17:11:32.427; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2014-06-12 17:11:32.428; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
